name,smi,success
00C,NC(CS(=O)(=O)O)C(=O)O,1
01G,Nc1nc2c(nc(N3CCOCC3)n2C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1,1
03H,CC(C)CC(Cl)C(=O)O,1
03M,Cc1c(Cl)ccc2c(/C=C3\NC(=O)N(Cc4ccc(F)c(F)c4)C3=O)c[nH]c12,1
03T,NS(=O)(=O)c1cc2ccccc2s1,1
03V,Oc1ccc2ccccc2c1,1
04J,Nc1nc(N)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2n1,1
08H,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,1
08K,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NN2C,1
0A9,COC(=O)C(N)Cc1ccccc1,1
0B3,CN1C(=O)CC(C)(CCc2ccccc2)N=C1N,1
0BC,CCOc1ccc(C(C)=O)cc1NC(=O)c1cc(-c2cscn2)cc(-c2nn[nH]n2)c1,1
0C0,O=C(O)c1ccc(Nc2nccc(Nc3ccccc3-c3ccccc3)n2)cc1,1
0C8,O=C(O)c1ccc(Nc2nccc(Nc3ccccc3OC(F)(F)F)n2)cc1,1
0CR,COc1cc2c3cc1OCCOc1cc4c(cc1OCc1cn(CCC(=O)O)nn1)Cc1cc5c(OCc6cn(CCC(=O)O)nn6)cc1Cc1cc(c(OCc6cn(CCc7ccc(S(N)(=O)=O)cc7)nn6)cc1C4)OCCOc1cc(c(cc1OC)Cc1cc(c(OC)cc1C3)OCCO5)C2,1
0ET,CCCCCCCCCC(O)CSCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,1
0HN,O=C(O)c1ccc2c(c1)OCO2,1
0HO,O=C(O)c1ccc2nsnc2c1,1
0J0,Cn1c(=O)cc(OCc2cn(C3CC4CCC(C3)[N+]4(C)C)nn2)c2ccccc21,1
0J2,CC(CC(=O)O)c1n[nH]c2nc(N)[nH]c(=O)c2c1=O,1
0JD,O=C(O)C1COc2ccccc2O1,1
0L1,O=C(O)CCCCC(=O)O,1
0LI,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,1
0LJ,[H]/N=C(/N)NC1Cc2ccccc2C1NC(=O)C(=O)Nc1ccc(Cl)c(F)c1,1
0LK,[H]/N=C(\N)NC1Cc2ccccc2C1NC(=O)C(=O)Nc1ccc(Cl)c(F)c1,1
0LL,NC1Cc2ccccc2C1NC(=O)C(=O)Nc1ccc(Cl)c(F)c1,1
0LM,CN1C(C)(C)CC(NC(=O)C(=O)Nc2ccc(Cl)c(F)c2)CC1(C)C,1
0LN,COc1ccc2c(c1)C=C1Cn3c-2c(C2CCCCC2)c2ccc(cc23)C(=O)NS(=O)(=O)N(C)CCCCN(C)C1=O,1
0MB,c1ccc(-c2nsc(N3CCCNCC3)n2)cc1,1
0N5,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1O,1
0N8,O=C(O)/C(O)=C/C(=O)C1(Cc2ccc(Cl)cc2)CCN(Cc2ccccc2)CC1,1
0O8,CCCCCCCCCCCCCCCCCCOP(=O)(O)OC1CC[N+](C)(C)CC1,1
0OC,CN(C)S(=O)(=O)c1ccsc1,1
0OE,O=C(O)c1ccc(-c2ccc3c(c2)nc(-c2cn[nH]c2-c2cccc(Cl)c2)n3CCCn2ccnc2)cc1,1
0PL,CN(Cc1cc(C(CC(=O)O)c2ccc3c(c2)nnn3C)ccc1Cl)S(=O)(=O)c1ccccc1,1
0QY,O=C(Nc1ccc2[nH]c(Cc3c[nH]c4ccccc34)nc2c1)C1CCCN1,1
0R3,CCC(C(C)O)N1C(=O)C(C)(CC(=O)O)CC(c2cccc(Cl)c2)C1c1ccc(Cl)cc1,1
0RT,CC1(C)CN=C(N2CCN(c3ncnc4sc(CC(F)(F)F)cc34)CC2)S1,1
0RY,NC(=O)c1cccc(NC(=O)/C=C\C(=O)O)c1,1
0S2,CC1CCC(C(=O)N(c2cc(C#CC(C)(C)C)sc2C(=O)O)C(C)C)CC1,1
0S3,CC1CCC(C(=O)N(c2cc(C#CC(C)(C)C)sc2C(=O)O)N(C)C)CC1,1
0S6,COC(=O)CC1N=C(c2ccc(Cl)cc2)c2c(sc(C)c2C)-n2c(C)nnc21,1
0SR,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)NCCCN2CCOCC2)cc1,1
0SS,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)NCCN2CCN(C(=O)Nc3cc(C(C)(C)C)nn3-c3ccc(C)cc3)CC2)cc1,1
0TM,COc1cc(Cl)c(-c2nc(SCC(=O)N(C)C)nc3[nH]cc(C#N)c23)cc1OC,1
0UE,,0
0UM,CCCNC(CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O,1
0UP,CC(C)Oc1cc(CN2CCC3(CC2C)CN(C)S(=O)(=O)N3c2cccc(F)c2)ccc1O,1
0UQ,CC(C)Oc1cccc(CN2CCC3(CC2C)CN(C)S(=O)(=O)N3c2cccc(F)c2)c1,1
0VR,O=C(O)c1ccccc1NCC(O)C(O)C(O)COP(=O)(O)O,1
0W1,Cc1nn(C)c2sc(C(=O)O)cc12,1
0X3,O=[N+]([O-])c1c(Nc2cc(F)cc(Cl)c2)ccc2nonc12,1
0XB,O=[N+]([O-])c1c(Nc2cccc(F)c2)ccc2nonc12,1
0XS,NC(=O)c1cc2cc(Br)c(C(F)(F)F)nc2nc1N,1
0XT,COc1nc2nc(N)nc(N)c2nc1C,1
0Y7,CCC(CO)N1C(=O)C(CC(=O)O)CC(c2cccc(Cl)c2)C1c1ccc(Cl)cc1,1
10N,CN(c1ncccc1CNc1c(C#N)cnc2[nH]c(-c3ccccc3)cc12)S(C)(=O)=O,1
10U,[H]/N=C(\N)c1ccc(CNC(=O)C2CCCN2C(=O)CNC2CCCC2)cc1,1
11U,[H]/N=C(\N)c1ccc(CNC(=O)C2CCCN2C(=O)CNC2CCCCC2)cc1,1
11Y,O=C(C1=C(O)C(=O)N(c2ccc(Cl)c(C(=O)O)c2)C1c1cc(Br)cs1)c1ccccc1,1
12D,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C2OC3(OC21)C([N+](=O)[O-])=CC([N+](=O)[O-])=CC3[N+](=O)[O-],1
12G,O=C(O)Cc1ccc(N2C(=O)C(O)=C(C(=O)c3ccccc3Cl)C2c2ccccc2Cl)cc1,1
12P,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,1
12R,c1ccc(NNc2ncnc3[nH]ncc23)cc1,1
12U,[H]/N=C(\N)c1ccc(CNC(=O)C2CCCN2C(=O)CNC2CCCCCC2)cc1,1
13P,O=C(CO)COP(=O)(O)O,1
13U,[H]/N=C(\N)c1ccc(CNC(=O)C2CCCN2C(=O)CNC2CCCCCCC2)cc1,1
15N,O=C(O)C1COc2ccccc2O1,1
15P,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,1
15U,[H]/N=C(/N)NCCCC(NS(=O)(=O)c1cccc2c1NCC(C)C2)C(=O)N1CCC(C)CC1C(=O)O,1
16G,CC(=O)NC1C(O)OC(COP(=O)(O)O)C(O)C1O,1
16V,Cc1n[nH]c(C)c1CCCOc1cc(C(=O)O)ccc1F,1
18F,c1ccc(Cn2c(-c3ccccc3)nc3ccccc32)cc1,1
19H,Cc1cc(OCCCc2c(C(=O)O)[nH]c3cc(Cl)ccc23)cc(C)c1Cl,1
1AU,CC(C)(C)c1cc(NC(=O)Nc2cccc3ccccc23)n(-c2cccc(N)c2)n1,1
1B0,Cc1[nH]c2ccccc2c1CC(=O)NC(Cc1ccccc1)C(=O)N(C)c1ccccc1,1
1BU,Cc1cccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Nc3ncnc4ccc(N)cc34)cc2)c1,1
1CR,COc1cc2c3cc1OCCOc1cc4c(cc1OCc1cn(CCC(=O)O)nn1)Cc1cc5c(OCc6cn(CCC(=O)O)nn6)cc1Cc1cc(c(OCc6cn(CCc7ccc(S(N)(=O)=O)cc7)nn6)cc1C4)OCCOc1cc(c(cc1OC)Cc1cc(c(OC)cc1C3)OCCO5)C2,1
1CY,CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,1
1D5,O=C(O)Cc1ccc(N2C(=O)C(O)=C(C(=O)c3ccc(Cl)s3)C2c2cc(Br)cs2)cc1,1
1D6,Cc1cccc(C(=O)C2=C(O)C(=O)N(c3ccc(CC(=O)O)cc3)C2c2cc(Cl)c3c(c2)OCO3)c1,1
1D8,O=C(O)c1cccc(N2C(=O)C(O)=C(C(=O)c3cccc(C(F)(F)F)c3)C2c2cc(Cl)c3c(c2)OCO3)c1,1
1D9,O=C(O)c1cccc(N2C(=O)C(O)=C(C(=O)c3cccc(C(F)(F)F)c3)C2c2cccc(C(F)(F)F)c2)c1,1
1DE,O=C(O)c1cccc(N2C(=O)C(O)=C(C(=O)c3ccc(Cl)s3)C2c2cc(Cl)c3c(c2)OCO3)c1,1
1DK,Cc1cc(C)c(C2C(C(=O)c3cccs3)=C(O)C(=O)N2c2ccc(CC(=O)O)cc2)cc1C,1
1DL,Cc1ccc(N2C(=O)C(O)=C(C(=O)c3ccccc3)C2c2cc(Br)cs2)cc1C(=O)O,1
1DZ,Cc1cccc(-n2nc(C(=O)O)cc2-c2ccccc2)c1,1
1EJ,O=C(O)c1sc2cc(-n3c(S)nnc3-c3ccc(F)cc3)ccc2c1Cl,1
1EK,O=C(O)CSc1nnc(-c2sc3ccccc3c2Cl)n1-c1ccccc1,1
1EP,CC(C)C1NC(=O)N(Cc2ccc(C(C)(C)C)cc2)C1=O,1
1ER,CC(C)(C)c1cccc(-c2ccc[nH]c2=O)c1,1
1F1,O=C(O)c1ccc2cc[nH]c2c1,1
1FL,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,1
1FT,O=P(O)(O)OCC1OC(SC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,1
1GH,COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n(C(C)c3ccccn3)c12,1
1HA,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)c1ccc2ccccc2c1O,1
1JR,O=C1NC(c2cccnc2)c2c1n[nH]c2-c1ccccc1,1
1K0,COc1cc(OC)c2c(=O)[nH]c(-c3cc(C)c(OCCO)c(C)c3)nc2c1,1
